
# Surface 0 of 1 surfaces

# Curve title: "(x**3)/3+log(x*y+2)+y**4-18"
# Contour 0, label:    0.003
3.9393939e+000 -4.7608485e-001 3.0000000e-003 
3.8820526e+000 -4.6092184e-001 3.0000000e-003 
3.8415730e+000 -4.2084168e-001 3.0000000e-003 
3.8179831e+000 -3.8076152e-001 3.0000000e-003 
3.8010872e+000 -3.4068136e-001 3.0000000e-003 
3.7878175e+000 -3.0060120e-001 3.0000000e-003 
3.7768344e+000 -2.6052104e-001 3.0000000e-003 
3.7674341e+000 -2.2044088e-001 3.0000000e-003 
3.7592022e+000 -1.8036072e-001 3.0000000e-003 
3.7518746e+000 -1.4028056e-001 3.0000000e-003 
3.7452724e+000 -1.0020040e-001 3.0000000e-003 
3.7392678e+000 -6.0120240e-002 3.0000000e-003 
3.7373737e+000 -4.6339509e-002 3.0000000e-003 
3.7333525e+000 -2.0040080e-002 3.0000000e-003 
3.7276975e+000 2.0040080e-002 3.0000000e-003 
3.7224498e+000 6.0120240e-002 3.0000000e-003 
3.7175494e+000 1.0020040e-001 3.0000000e-003 
3.7129423e+000 1.4028056e-001 3.0000000e-003 
3.7085777e+000 1.8036072e-001 3.0000000e-003 
3.7044066e+000 2.2044088e-001 3.0000000e-003 
3.7003802e+000 2.6052104e-001 3.0000000e-003 
3.6964489e+000 3.0060120e-001 3.0000000e-003 
3.6925618e+000 3.4068136e-001 3.0000000e-003 
3.6886659e+000 3.8076152e-001 3.0000000e-003 
3.6847058e+000 4.2084168e-001 3.0000000e-003 
3.6806230e+000 4.6092184e-001 3.0000000e-003 
3.6763562e+000 5.0100200e-001 3.0000000e-003 
3.6718406e+000 5.4108216e-001 3.0000000e-003 
3.6670078e+000 5.8116232e-001 3.0000000e-003 
3.6617859e+000 6.2124248e-001 3.0000000e-003 
3.6560990e+000 6.6132265e-001 3.0000000e-003 
3.6498675e+000 7.0140281e-001 3.0000000e-003 
3.6430075e+000 7.4148297e-001 3.0000000e-003 
3.6354313e+000 7.8156313e-001 3.0000000e-003 
3.6270469e+000 8.2164329e-001 3.0000000e-003 
3.6177582e+000 8.6172345e-001 3.0000000e-003 
3.6074648e+000 9.0180361e-001 3.0000000e-003 
3.5960621e+000 9.4188377e-001 3.0000000e-003 
3.5834411e+000 9.8196393e-001 3.0000000e-003 
3.5694885e+000 1.0220441e+000 3.0000000e-003 
3.5540867e+000 1.0621242e+000 3.0000000e-003 
3.5371135e+000 1.1022044e+000 3.0000000e-003 
3.5353535e+000 1.1059820e+000 3.0000000e-003 
3.5164383e+000 1.1422846e+000 3.0000000e-003 
3.4935105e+000 1.1823647e+000 3.0000000e-003 
3.4683874e+000 1.2224449e+000 3.0000000e-003 
3.4409129e+000 1.2625251e+000 3.0000000e-003 
3.4109258e+000 1.3026052e+000 3.0000000e-003 
3.3782599e+000 1.3426854e+000 3.0000000e-003 
3.3427440e+000 1.3827655e+000 3.0000000e-003 
3.3333333e+000 1.3925507e+000 3.0000000e-003 
3.3005483e+000 1.4228457e+000 3.0000000e-003 
3.2535652e+000 1.4629259e+000 3.0000000e-003 
3.2027657e+000 1.5030060e+000 3.0000000e-003 
3.1479347e+000 1.5430862e+000 3.0000000e-003 
3.1313131e+000 1.5543605e+000 3.0000000e-003 
3.0831953e+000 1.5831663e+000 3.0000000e-003 
3.0111707e+000 1.6232465e+000 3.0000000e-003 
2.9338131e+000 1.6633267e+000 3.0000000e-003 
2.9292929e+000 1.6655101e+000 3.0000000e-003 
2.8397178e+000 1.7034068e+000 3.0000000e-003 
2.7382766e+000 1.7434870e+000 3.0000000e-003 
2.7272727e+000 1.7475524e+000 3.0000000e-003 
2.6150120e+000 1.7835671e+000 3.0000000e-003 
2.5252525e+000 1.8105347e+000 3.0000000e-003 
2.4745060e+000 1.8236473e+000 3.0000000e-003 
2.3232323e+000 1.8603017e+000 3.0000000e-003 
2.3066163e+000 1.8637275e+000 3.0000000e-003 
2.1212121e+000 1.8996184e+000 3.0000000e-003 
2.0954753e+000 1.9038076e+000 3.0000000e-003 
1.9191919e+000 1.9307825e+000 3.0000000e-003 
1.8160042e+000 1.9438878e+000 3.0000000e-003 
1.7171717e+000 1.9557021e+000 3.0000000e-003 
1.5151515e+000 1.9754671e+000 3.0000000e-003 
1.4074713e+000 1.9839679e+000 3.0000000e-003 
1.3131313e+000 1.9909863e+000 3.0000000e-003 
1.1111111e+000 2.0029615e+000 3.0000000e-003 
