Ημερομηνία,Κατηγορία,Περιγραφή,Ποσό (€)
08/08/2025,"Τηλέφωνο & Internet","Σταθερό γραφείου",32.90
08/08/2025,"Ενοίκιο","",700.00
02/06/2025,"Ενοίκιο","",700.00
08/08/2025,"Ασφάλιση","Εφκα Αυγούστου",508.00
08/08/2025,"Ρεύμα","",130.00
17/07/2025,"Ασφάλιση","",280.00
