
# Surface 0 of 1 surfaces

# Curve title: "x**4/4+x**3*y+y**2/2-4"

# Contour 0, label:    0.003
-1.5885662e+00 8.5971944e+00 3.0000000e-03 
-1.5914979e+00 8.6372745e+00 3.0000000e-03 
-1.5944262e+00 8.6773547e+00 3.0000000e-03 
-1.5973510e+00 8.7174349e+00 3.0000000e-03 
-1.6002726e+00 8.7575150e+00 3.0000000e-03 
-1.6031908e+00 8.7975952e+00 3.0000000e-03 
-1.6061058e+00 8.8376754e+00 3.0000000e-03 
-1.6090176e+00 8.8777555e+00 3.0000000e-03 
-1.6119263e+00 8.9178357e+00 3.0000000e-03 
-1.6148318e+00 8.9579158e+00 3.0000000e-03 
-1.6177343e+00 8.9979960e+00 3.0000000e-03 
-1.6206338e+00 9.0380762e+00 3.0000000e-03 
-1.6235303e+00 9.0781563e+00 3.0000000e-03 
-1.6264238e+00 9.1182365e+00 3.0000000e-03 
-1.6293145e+00 9.1583166e+00 3.0000000e-03 
-1.6322023e+00 9.1983968e+00 3.0000000e-03 
-1.6350873e+00 9.2384770e+00 3.0000000e-03 
-1.6379696e+00 9.2785571e+00 3.0000000e-03 
-1.6408491e+00 9.3186373e+00 3.0000000e-03 
-1.6437259e+00 9.3587174e+00 3.0000000e-03 
-1.6466000e+00 9.3987976e+00 3.0000000e-03 
-1.6494715e+00 9.4388778e+00 3.0000000e-03 
-1.6523404e+00 9.4789579e+00 3.0000000e-03 
-1.6552068e+00 9.5190381e+00 3.0000000e-03 
-1.6580706e+00 9.5591182e+00 3.0000000e-03 
-1.6582915e+00 9.5621986e+00 3.0000000e-03 
-1.6606392e+00 9.5991984e+00 3.0000000e-03 
-1.6631811e+00 9.6392786e+00 3.0000000e-03 
-1.6657207e+00 9.6793587e+00 3.0000000e-03 
-1.6682581e+00 9.7194389e+00 3.0000000e-03 
-1.6707934e+00 9.7595190e+00 3.0000000e-03 
-1.6733265e+00 9.7995992e+00 3.0000000e-03 
-1.6758574e+00 9.8396794e+00 3.0000000e-03 
-1.6783863e+00 9.8797595e+00 3.0000000e-03 
-1.6809131e+00 9.9198397e+00 3.0000000e-03 
-1.6834379e+00 9.9599198e+00 3.0000000e-03 
-1.6859606e+00 1.0000000e+01 3.0000000e-03 

-1.1893710e+00 4.8296593e+00 3.0000000e-03 
-1.1958628e+00 4.8697395e+00 3.0000000e-03 
-1.2023208e+00 4.9098196e+00 3.0000000e-03 
-1.2087458e+00 4.9498998e+00 3.0000000e-03 
-1.2151388e+00 4.9899800e+00 3.0000000e-03 
-1.2215005e+00 5.0300601e+00 3.0000000e-03 
-1.2278319e+00 5.0701403e+00 3.0000000e-03 
-1.2341335e+00 5.1102204e+00 3.0000000e-03 
-1.2404063e+00 5.1503006e+00 3.0000000e-03 
-1.2466509e+00 5.1903808e+00 3.0000000e-03 
-1.2528680e+00 5.2304609e+00 3.0000000e-03 
-1.2562814e+00 5.2524795e+00 3.0000000e-03 
-1.2586641e+00 5.2705411e+00 3.0000000e-03 
-1.2639528e+00 5.3106212e+00 3.0000000e-03 
-1.2692191e+00 5.3507014e+00 3.0000000e-03 
-1.2744634e+00 5.3907816e+00 3.0000000e-03 
-1.2796863e+00 5.4308617e+00 3.0000000e-03 
-1.2848884e+00 5.4709419e+00 3.0000000e-03 
-1.2900700e+00 5.5110220e+00 3.0000000e-03 
